T2M,RH2M,WS2M,PRECTOTCORR,Date
16.26,55.19,2.42,0.0,2023-11-28 09:00:00
19.74,44.38,1.84,0.0,2023-11-28 10:00:00
23.4,33.69,1.2,0.0,2023-11-28 11:00:00
24.92,30.81,0.68,0.0,2023-11-28 12:00:00
25.51,29.19,0.65,0.0,2023-11-28 13:00:00
25.55,28.44,0.74,0.0,2023-11-28 14:00:00
24.96,30.12,0.8,0.0,2023-11-28 15:00:00
23.08,45.44,0.58,0.0,2023-11-28 16:00:00
21.03,42.25,0.79,0.0,2023-11-28 17:00:00
19.98,44.06,0.98,0.0,2023-11-28 18:00:00
18.54,49.69,1.13,0.0,2023-11-28 19:00:00
17.2,54.69,1.21,0.0,2023-11-28 20:00:00
15.96,59.5,1.22,0.0,2023-11-28 21:00:00
14.77,64.06,1.23,0.0,2023-11-28 22:00:00
13.92,66.88,1.21,0.0,2023-11-28 23:00:00
13.67,67.19,1.19,0.0,2023-11-29 00:00:00
13.63,66.44,1.18,0.0,2023-11-29 01:00:00
13.51,66.19,1.19,0.0,2023-11-29 02:00:00
13.23,66.75,1.22,0.0,2023-11-29 03:00:00
12.83,68.0,1.26,0.0,2023-11-29 04:00:00
12.45,69.12,1.27,0.0,2023-11-29 05:00:00
12.19,69.69,1.29,0.0,2023-11-29 06:00:00
12.46,70.44,1.19,0.0,2023-11-29 07:00:00
15.76,58.88,1.7,0.0,2023-11-29 08:00:00
18.11,48.69,1.97,0.0,2023-11-29 09:00:00
21.96,39.06,0.9,0.0,2023-11-29 10:00:00
24.66,33.06,0.45,0.0,2023-11-29 11:00:00
25.35,31.75,0.73,0.0,2023-11-29 12:00:00
25.54,31.56,0.81,0.0,2023-11-29 13:00:00
25.28,32.06,0.82,0.0,2023-11-29 14:00:00
24.58,33.75,0.73,0.0,2023-11-29 15:00:00
22.9,47.62,0.46,0.0,2023-11-29 16:00:00
21.21,44.44,0.58,0.0,2023-11-29 17:00:00
20.52,46.56,0.59,0.0,2023-11-29 18:00:00
19.99,48.5,0.54,0.0,2023-11-29 19:00:00
19.46,49.56,0.51,0.0,2023-11-29 20:00:00
18.95,51.25,0.59,0.0,2023-11-29 21:00:00
18.37,54.69,0.68,0.0,2023-11-29 22:00:00
17.76,57.19,0.72,0.0,2023-11-29 23:00:00
17.14,60.12,0.78,0.0,2023-11-30 00:00:00
16.58,62.31,0.86,0.0,2023-11-30 01:00:00
16.05,64.5,0.93,0.0,2023-11-30 02:00:00
15.55,67.44,0.95,0.0,2023-11-30 03:00:00
14.98,70.81,0.97,0.0,2023-11-30 04:00:00
14.54,73.25,1.02,0.0,2023-11-30 05:00:00
14.02,75.06,1.1,0.0,2023-11-30 06:00:00
14.11,75.62,1.19,0.0,2023-11-30 07:00:00
15.82,66.19,2.24,0.0,2023-11-30 08:00:00
17.44,60.62,2.16,0.02,2023-11-30 09:00:00
20.49,48.06,1.55,0.1,2023-11-30 10:00:00
22.23,42.5,1.0,0.05,2023-11-30 11:00:00
22.81,40.56,0.72,0.13,2023-11-30 12:00:00
22.61,40.81,0.4,0.16,2023-11-30 13:00:00
22.32,41.62,0.02,0.09,2023-11-30 14:00:00
21.8,43.62,0.65,0.03,2023-11-30 15:00:00
19.73,64.81,0.67,0.0,2023-11-30 16:00:00
16.94,69.38,1.13,0.0,2023-11-30 17:00:00
15.86,71.69,1.42,0.0,2023-11-30 18:00:00
15.16,74.06,1.67,0.0,2023-11-30 19:00:00
14.47,77.5,1.74,0.0,2023-11-30 20:00:00
13.78,81.44,1.64,0.0,2023-11-30 21:00:00
13.13,85.06,1.46,0.0,2023-11-30 22:00:00
12.55,88.69,1.32,0.0,2023-11-30 23:00:00
12.06,92.19,1.22,0.0,2023-12-01 00:00:00
11.66,95.56,1.15,0.0,2023-12-01 01:00:00
11.38,98.06,1.1,0.0,2023-12-01 02:00:00
13.87,83.19,2.37,0.05,2023-12-01 08:00:00
16.05,73.44,2.23,0.05,2023-12-01 09:00:00
19.65,55.75,1.89,0.13,2023-12-01 10:00:00
21.27,48.38,1.84,0.0,2023-12-01 11:00:00
21.96,45.12,2.01,0.0,2023-12-01 12:00:00
22.11,43.88,2.23,0.0,2023-12-01 13:00:00
21.89,44.06,2.36,0.0,2023-12-01 14:00:00
21.32,45.56,2.3,0.0,2023-12-01 15:00:00
19.23,60.69,1.1,0.0,2023-12-01 16:00:00
16.49,69.19,1.05,0.0,2023-12-01 17:00:00
15.7,70.56,1.08,0.0,2023-12-01 18:00:00
15.34,70.56,1.07,0.0,2023-12-01 19:00:00
15.12,69.69,1.03,0.0,2023-12-01 20:00:00
14.69,70.19,1.03,0.0,2023-12-01 21:00:00
13.73,73.88,1.13,0.0,2023-12-01 22:00:00
12.51,79.75,1.21,0.0,2023-12-01 23:00:00
11.65,84.25,1.22,0.0,2023-12-02 00:00:00
11.1,87.0,1.24,0.0,2023-12-02 01:00:00
10.71,88.62,1.25,0.0,2023-12-02 02:00:00
10.4,89.62,1.28,0.0,2023-12-02 03:00:00
10.11,90.5,1.3,0.0,2023-12-02 04:00:00
9.81,91.31,1.32,0.0,2023-12-02 05:00:00
9.51,92.0,1.36,0.0,2023-12-02 06:00:00
9.99,88.38,1.42,0.0,2023-12-02 07:00:00
15.37,62.38,2.46,0.0,2023-12-02 09:00:00
19.4,47.88,1.87,0.0,2023-12-02 10:00:00
21.51,40.62,1.68,0.0,2023-12-02 11:00:00
22.47,37.19,1.68,0.0,2023-12-02 12:00:00
22.85,35.31,1.71,0.0,2023-12-02 13:00:00
22.76,34.75,1.77,0.0,2023-12-02 14:00:00
22.17,35.62,1.78,0.0,2023-12-02 15:00:00
19.7,54.38,0.87,0.0,2023-12-02 16:00:00
17.44,55.19,1.03,0.0,2023-12-02 17:00:00
16.75,54.88,1.02,0.0,2023-12-02 18:00:00
16.32,54.56,0.95,0.0,2023-12-02 19:00:00
15.83,55.0,0.95,0.0,2023-12-02 20:00:00
14.88,57.81,1.06,0.0,2023-12-02 21:00:00
13.65,61.38,1.22,0.0,2023-12-02 22:00:00
12.46,65.62,1.31,0.0,2023-12-02 23:00:00
11.63,68.31,1.35,0.0,2023-12-03 00:00:00
11.15,69.38,1.36,0.0,2023-12-03 01:00:00
10.89,69.19,1.35,0.0,2023-12-03 02:00:00
10.75,68.38,1.34,0.0,2023-12-03 03:00:00
10.67,67.31,1.32,0.0,2023-12-03 04:00:00
10.59,66.12,1.28,0.0,2023-12-03 05:00:00
10.56,65.06,1.22,0.0,2023-12-03 06:00:00
10.94,64.56,1.09,0.0,2023-12-03 07:00:00
13.84,58.62,1.1,0.0,2023-12-03 08:00:00
16.17,46.88,1.06,0.0,2023-12-03 09:00:00
19.82,37.62,0.15,0.0,2023-12-03 10:00:00
22.62,29.5,0.43,0.0,2023-12-03 11:00:00
23.48,27.0,0.2,0.0,2023-12-03 12:00:00
23.85,25.75,0.43,0.0,2023-12-03 13:00:00
23.73,25.44,0.97,0.0,2023-12-03 14:00:00
22.95,27.69,1.24,0.0,2023-12-03 15:00:00
20.25,46.75,0.89,0.0,2023-12-03 16:00:00
17.56,48.88,1.2,0.0,2023-12-03 17:00:00
15.68,55.25,1.3,0.0,2023-12-03 18:00:00
14.14,60.94,1.35,0.0,2023-12-03 19:00:00
13.0,64.38,1.45,0.0,2023-12-03 20:00:00
12.15,66.88,1.51,0.0,2023-12-03 21:00:00
11.52,68.31,1.47,0.0,2023-12-03 22:00:00
11.08,69.0,1.38,0.0,2023-12-03 23:00:00
10.84,68.56,1.28,0.0,2023-12-04 00:00:00
10.93,67.0,1.21,0.0,2023-12-04 01:00:00
11.44,66.12,1.1,0.0,2023-12-04 02:00:00
11.54,65.38,1.11,0.0,2023-12-04 03:00:00
11.34,65.5,1.12,0.0,2023-12-04 04:00:00
10.79,65.5,1.2,0.0,2023-12-04 05:00:00
10.31,65.94,1.25,0.0,2023-12-04 06:00:00
10.23,67.19,1.21,0.0,2023-12-04 07:00:00
13.49,55.62,1.83,0.0,2023-12-04 08:00:00
15.93,44.44,2.22,0.0,2023-12-04 09:00:00
19.65,34.94,1.66,0.0,2023-12-04 10:00:00
22.67,27.44,1.52,0.0,2023-12-04 11:00:00
23.88,25.25,1.53,0.0,2023-12-04 12:00:00
24.42,24.31,1.41,0.0,2023-12-04 13:00:00
24.45,24.19,1.32,0.0,2023-12-04 14:00:00
23.76,27.0,1.06,0.0,2023-12-04 15:00:00
21.81,38.56,0.58,0.0,2023-12-04 16:00:00
20.48,34.31,0.37,0.0,2023-12-04 17:00:00
20.1,32.88,0.13,0.0,2023-12-04 18:00:00
18.87,36.75,0.7,0.0,2023-12-04 19:00:00
17.27,42.5,1.09,0.0,2023-12-04 20:00:00
15.55,48.19,1.33,0.0,2023-12-04 21:00:00
13.87,53.56,1.45,0.0,2023-12-04 22:00:00
12.49,58.06,1.48,0.0,2023-12-04 23:00:00
11.7,60.12,1.45,0.0,2023-12-05 00:00:00
11.6,58.81,1.41,0.0,2023-12-05 01:00:00
12.25,54.0,1.23,0.0,2023-12-05 02:00:00
13.04,48.94,0.81,0.0,2023-12-05 03:00:00
13.37,46.19,0.35,0.0,2023-12-05 04:00:00
12.33,48.38,0.76,0.0,2023-12-05 05:00:00
